row_id	axis	from_profile_id	to_profile_id	lookup_growth	trace_growth	width_growth	fused_proof_growth	split_proof_growth	saving_growth	target_fused_proof_bytes	target_split_proof_bytes	target_saving_bytes	target_fused_to_split_ratio	fused_prove_growth	fused_verify_growth	outcome
d64_h1_to_h4_seq16_head_axis	head	d64_single_head_seq16	d64_four_head_seq16	4.0	4.0	1.0	0.999457	1.024806	1.386727	237596	260685	23089	0.91143			GO_HEAD_AXIS_LOOKUP_PRESSURE_AMORTIZED
d64_h2_seq32_to_seq64_sequence_axis	sequence	d64_two_head_seq32	d64_two_head_seq64	3.72973	4.0	1.0	1.076519	1.076702	1.07816	272636	306970	34334	0.888152	4.019863	3.973893	GO_SEQUENCE_AXIS_LOOKUP_PRESSURE_AMORTIZED_WITH_TIMING_CAVEAT
d64_h4_seq32_to_seq64_sequence_axis	sequence	d64_four_head_seq32	d64_four_head_seq64	3.72973	4.0	1.0	1.080558	1.095365	1.212295	276503	315785	39282	0.875605	3.937449	3.966431	GO_SEQUENCE_AXIS_LOOKUP_PRESSURE_AMORTIZED_WITH_TIMING_CAVEAT
d128_h2_seq32_to_seq64_sequence_axis	sequence	d128_two_head_seq32	d128_two_head_seq64	3.72973	4.0	1.0	1.080697	1.091811	1.244813	481870	522187	40317	0.922792			GO_SEQUENCE_AXIS_PROOF_SIZE_ONLY_TIMING_NOT_MEASURED
d128_h4_seq32_to_seq64_sequence_axis	sequence	d128_four_head_seq32	d128_four_head_seq64	3.72973	4.0	1.0	1.06491	1.068793	1.114797	495854	539670	43816	0.91881			GO_SEQUENCE_AXIS_PROOF_SIZE_ONLY_TIMING_NOT_MEASURED
d64_to_d128_h1_seq16_width_axis	width	d64_single_head_seq16	d128_single_head_seq16	1.0	1.0	2.0	1.599924	1.561918	1.019279	380342	397313	16971	0.957286			CAUTION_WIDTH_AXIS_PROOF_BYTES_GROW_BUT_FUSED_STILL_BEATS_SPLIT
d64_to_d128_h2_seq32_width_axis	width	d64_two_head_seq32	d128_two_head_seq32	1.0	1.0	2.0	1.760615	1.677561	1.017051	445888	478276	32388	0.932282			CAUTION_WIDTH_AXIS_PROOF_BYTES_GROW_BUT_FUSED_STILL_BEATS_SPLIT
d128_to_d256_h2_seq32_width_axis	width	d128_two_head_seq32	d256_two_head_seq32	1.0	1.0	2.0	1.842162	1.780438	0.930684	821398	851541	30143	0.964602			CAUTION_WIDTH_AXIS_SAVING_WEAKENS_AND_TIMING_IS_NOT_A_SPEED_WIN
