variant_id	adapter_mode	family	policy_status	input_sha256	structural_signature	row_identity_signature	final_typed_bytes	final_path_opening_bytes	final_value_bytes	final_record_stream_sha256
fixed_adjacent_layout	rmsnorm_input_fused_adjacent_fixed_v1	adjacent_reference	reference_layout	5db547362d4038f5d4d3c781bb83b5542726762cefcb6c2a9479764cfc2fc4db	blake2b-256:707e010e59bd310124aca4b7e0da148c4b9bbc3c2079efa2169ff098c15b3463	blake2b-256:96b788b6d14df0012285d9f4168f9bf2c9c55f1fbea16299dc0a2c9ae83b2244	42156	21184	20924	24e3f16bf92320fd79059257ec70ca97bbf76b5859610c2013c58a7511f1feaf
adjacent_label_probe_a	rmsnorm_input_fused_adjacent_label_probe_a_v1	adjacent_existing_probe	existing_non_frontier_probe	9243abc5a1dd008279fbadade8a3aeafecefb987d028f270eb1cb788a3d666a6	blake2b-256:707e010e59bd310124aca4b7e0da148c4b9bbc3c2079efa2169ff098c15b3463	blake2b-256:d9cf0b030829e31fe09c8ba9388e113fac9a44b565f02cae6abd2b82a67eef37	40332	19360	20924	ab9c27d7b780f81ec8f8f562997392362c18c9ddc6315d1db303520e3fd7e682
adjacent_label_probe_b	rmsnorm_input_fused_adjacent_label_probe_b_v1	adjacent_existing_probe	current_frontier	44cc403f5b8bc77611190affc1b183acc4263faec3ed7dbc30b7a632e63098e2	blake2b-256:707e010e59bd310124aca4b7e0da148c4b9bbc3c2079efa2169ff098c15b3463	blake2b-256:08cef8a3917e508c13e7ab01854f083ffc2f69eeaaf1a52ad3c915f88adfdb6c	37532	16560	20924	d0540f5cd1a69991226bcfb81475cec78ba0d416a39317503ad204b660aae1e0
adjacent_seed_00	rmsnorm_input_fused_adjacent_seed_00_v1	pre_registered_seed	seed_no_go	36fa4d51c0d062bd1c92ff733f23da758a8d13cfafa3a8c729041a5a5666c1ed	blake2b-256:707e010e59bd310124aca4b7e0da148c4b9bbc3c2079efa2169ff098c15b3463	blake2b-256:84fc9e48c329b224079ea5388302bfec55dc1810c8856acc3ee49a75703bf6e7	41484	20512	20924	01ba426d79e56c9c017a8d6696a54c4408424a3b0cc125c12c95fdfcacaa6e04
adjacent_seed_01	rmsnorm_input_fused_adjacent_seed_01_v1	pre_registered_seed	seed_no_go	92482c953c728cf029388676921df177fda7f42d4bbfc62a7d03295dcb86809e	blake2b-256:707e010e59bd310124aca4b7e0da148c4b9bbc3c2079efa2169ff098c15b3463	blake2b-256:ee9770cd8552f9d916cc01872c640008568784c9a44791f0b6f1f015179fd6ff	41484	20512	20924	01ba426d79e56c9c017a8d6696a54c4408424a3b0cc125c12c95fdfcacaa6e04
adjacent_seed_02	rmsnorm_input_fused_adjacent_seed_02_v1	pre_registered_seed	best_seed_but_no_go	d01a4370197ccf685660e9ae4c5cbcd8d9ea30ebb7c5963a961351b57387c61c	blake2b-256:707e010e59bd310124aca4b7e0da148c4b9bbc3c2079efa2169ff098c15b3463	blake2b-256:a1235b26d18b95aa983851849b99fce7c46a9b5ff6b21696b735a003e3a2a19b	40268	19296	20924	1d1a58b9897120dd0beb15a7d159c2328304ed8e6103efa28551ee5b65b31539
adjacent_seed_03	rmsnorm_input_fused_adjacent_seed_03_v1	pre_registered_seed	seed_no_go	31ece4302be031e9bd68d5b53c164171b5438f1e173bc9b7b813fac97a8b94fb	blake2b-256:707e010e59bd310124aca4b7e0da148c4b9bbc3c2079efa2169ff098c15b3463	blake2b-256:77a85168e5d3b609eae43a7f394c12504474b2ccc907f8dd4c02344a1ed1035c	42156	21184	20924	24e3f16bf92320fd79059257ec70ca97bbf76b5859610c2013c58a7511f1feaf
adjacent_seed_04	rmsnorm_input_fused_adjacent_seed_04_v1	pre_registered_seed	seed_no_go	910e1e7cfca7bf4113dadf0b8f3d53aa8a837628b049c28811db3b948db055e4	blake2b-256:707e010e59bd310124aca4b7e0da148c4b9bbc3c2079efa2169ff098c15b3463	blake2b-256:80a06c5c1e8ea57f1daba4d3018c3410da32b9fca08d04a6742e96250da6602c	42156	21184	20924	24e3f16bf92320fd79059257ec70ca97bbf76b5859610c2013c58a7511f1feaf
adjacent_seed_05	rmsnorm_input_fused_adjacent_seed_05_v1	pre_registered_seed	seed_no_go	e432219be16140b148bb981e0c4edfe9dd342e6192b780964a28498a8637b1ac	blake2b-256:707e010e59bd310124aca4b7e0da148c4b9bbc3c2079efa2169ff098c15b3463	blake2b-256:d7bf1febaa27ff57a6a6b9b10b3d54de4b623e6de0a24d5b919123539ab0bf16	40332	19360	20924	ab9c27d7b780f81ec8f8f562997392362c18c9ddc6315d1db303520e3fd7e682
