variant_id	adapter_mode	cli_command	policy_status	builder_status	typed_bytes	typed_delta_vs_champion	typed_saving_vs_champion	proof_json_bytes	proof_len_bytes	path_opening_bytes	value_bytes	record_stream_sha256	envelope_sha256	proof_sha256	input_sha256	payload_commitment	source_artifact_digest_pins	source_artifact_payload_commitments	accepted_label_ids	rejected_label_ids	mutation_outcomes
fixed_adjacent_layout	rmsnorm_input_fused_adjacent_fixed_v1	build-input-rmsnorm-fused-adjacent	rejected_inflating_label	reconstructed_from_generated_label_accounting_and_envelope	42156	88	-88	122688	122688	21184	20924	24e3f16bf92320fd79059257ec70ca97bbf76b5859610c2013c58a7511f1feaf	91d6866982629e829ef4b53502c99c7215e0d6bb257336cdf2910b8c94ce52b3	f1a495236e06cb3bb76e7f7cb900b9b96eb203809f791d28238fc948514126ed	f6f27d63a9eeca86b2bb43f4f7b2b3a1f96708c8e14f2852661b10ccbccd7198	blake2b-256:3a6fcb044d144b75e6d5d4ab6ced0ee78b9c6d05d19bb00cf7efe805ecb8f3f1	generated_adjacent_label_inventory=737eccaeb16051a4733d122ab2fc332d59c3b28feb36707088731ea93ae156f3,adjacent_label_probe_accounting=0841dd4dbf6d3ff76ede4c3e088b301745e04f649024d50aa378fb239cd1ef5c	generated_adjacent_label_inventory=blake2b-256:8b195e5ce4ec9dd594605d34528a9227b2fc59cb7d4a6b31f5293667fe35cab4,adjacent_label_probe_accounting=none	adjacent_label_probe_a,adjacent_label_probe_b	fixed_adjacent_layout	decision_drift=rejected:decision drift,result_drift=rejected:result drift,claim_boundary_overclaim=rejected:claim_boundary drift,generated_inventory_digest_drift=rejected:source artifact drift,generated_inventory_commitment_drift=rejected:source artifact drift,accounting_digest_drift=rejected:source artifact drift,builder_manual_override_enabled=rejected:builder policy drift,generated_label_removed=rejected:builder policy drift,missing_accounting_row=rejected:proof object row order drift,envelope_path_relabeling=rejected:proof object row drift,envelope_sha_drift=rejected:proof object row drift,proof_sha_drift=rejected:proof object row drift,proof_length_drift=rejected:proof object row drift,typed_accounting_drift=rejected:proof object row drift,record_stream_drift=rejected:proof object row drift,proof_backend_version_drift=rejected:proof object row drift,fixed_label_promoted=rejected:proof object row drift,best_frontier_drift=rejected:frontier summary drift,validation_command_drift=rejected:validation command drift,removed_non_claim=rejected:non_claims drift,payload_commitment_drift=rejected:payload commitment drift
adjacent_label_probe_a	rmsnorm_input_fused_adjacent_label_probe_a_v1	build-input-rmsnorm-fused-adjacent-label-probe-a	supported_label	reconstructed_from_generated_label_accounting_and_envelope	40332	-1736	1736	116321	116321	19360	20924	ab9c27d7b780f81ec8f8f562997392362c18c9ddc6315d1db303520e3fd7e682	2f15a7b6c6e15b889ffc61c6a74235efc43b416fe7384452ca07d5818447f0aa	3421ac16f96bda07540698ccdbf1ea705ca384583c3b3275fc99471b5a156d7d	b970d9ef2f758db89930307c5594fbf57a1e9741b84a6954936f69fbdb960924	blake2b-256:3a6fcb044d144b75e6d5d4ab6ced0ee78b9c6d05d19bb00cf7efe805ecb8f3f1	generated_adjacent_label_inventory=737eccaeb16051a4733d122ab2fc332d59c3b28feb36707088731ea93ae156f3,adjacent_label_probe_accounting=0841dd4dbf6d3ff76ede4c3e088b301745e04f649024d50aa378fb239cd1ef5c	generated_adjacent_label_inventory=blake2b-256:8b195e5ce4ec9dd594605d34528a9227b2fc59cb7d4a6b31f5293667fe35cab4,adjacent_label_probe_accounting=none	adjacent_label_probe_a,adjacent_label_probe_b	fixed_adjacent_layout	decision_drift=rejected:decision drift,result_drift=rejected:result drift,claim_boundary_overclaim=rejected:claim_boundary drift,generated_inventory_digest_drift=rejected:source artifact drift,generated_inventory_commitment_drift=rejected:source artifact drift,accounting_digest_drift=rejected:source artifact drift,builder_manual_override_enabled=rejected:builder policy drift,generated_label_removed=rejected:builder policy drift,missing_accounting_row=rejected:proof object row order drift,envelope_path_relabeling=rejected:proof object row drift,envelope_sha_drift=rejected:proof object row drift,proof_sha_drift=rejected:proof object row drift,proof_length_drift=rejected:proof object row drift,typed_accounting_drift=rejected:proof object row drift,record_stream_drift=rejected:proof object row drift,proof_backend_version_drift=rejected:proof object row drift,fixed_label_promoted=rejected:proof object row drift,best_frontier_drift=rejected:frontier summary drift,validation_command_drift=rejected:validation command drift,removed_non_claim=rejected:non_claims drift,payload_commitment_drift=rejected:payload commitment drift
adjacent_label_probe_b	rmsnorm_input_fused_adjacent_label_probe_b_v1	build-input-rmsnorm-fused-adjacent-label-probe-b	supported_label	reconstructed_from_generated_label_accounting_and_envelope	37532	-4536	4536	106317	106317	16560	20924	d0540f5cd1a69991226bcfb81475cec78ba0d416a39317503ad204b660aae1e0	8e3ba831ac7e858d069f1edfcb6ad46783b0d72f3f47666ae621bc159ac2c0df	4a5dc66d63ee3ddd3acad65e88c42259fb925ee31768a3fdecdb528722630845	f7c899cab3790eda5c770e56d0b9ed02ab5b65c7a72d4e1ccaaab7ed80a4a4da	blake2b-256:3a6fcb044d144b75e6d5d4ab6ced0ee78b9c6d05d19bb00cf7efe805ecb8f3f1	generated_adjacent_label_inventory=737eccaeb16051a4733d122ab2fc332d59c3b28feb36707088731ea93ae156f3,adjacent_label_probe_accounting=0841dd4dbf6d3ff76ede4c3e088b301745e04f649024d50aa378fb239cd1ef5c	generated_adjacent_label_inventory=blake2b-256:8b195e5ce4ec9dd594605d34528a9227b2fc59cb7d4a6b31f5293667fe35cab4,adjacent_label_probe_accounting=none	adjacent_label_probe_a,adjacent_label_probe_b	fixed_adjacent_layout	decision_drift=rejected:decision drift,result_drift=rejected:result drift,claim_boundary_overclaim=rejected:claim_boundary drift,generated_inventory_digest_drift=rejected:source artifact drift,generated_inventory_commitment_drift=rejected:source artifact drift,accounting_digest_drift=rejected:source artifact drift,builder_manual_override_enabled=rejected:builder policy drift,generated_label_removed=rejected:builder policy drift,missing_accounting_row=rejected:proof object row order drift,envelope_path_relabeling=rejected:proof object row drift,envelope_sha_drift=rejected:proof object row drift,proof_sha_drift=rejected:proof object row drift,proof_length_drift=rejected:proof object row drift,typed_accounting_drift=rejected:proof object row drift,record_stream_drift=rejected:proof object row drift,proof_backend_version_drift=rejected:proof object row drift,fixed_label_promoted=rejected:proof object row drift,best_frontier_drift=rejected:frontier summary drift,validation_command_drift=rejected:validation command drift,removed_non_claim=rejected:non_claims drift,payload_commitment_drift=rejected:payload commitment drift
