variant_id	family	policy_status	adapter_mode	typed_bytes	json_proof_bytes	typed_delta_vs_adjacent_probe_b	path_opening_bytes	value_bytes	record_stream_sha256	payload_commitment	decision	result
fixed_adjacent_layout	adjacent_reference	reference_layout	rmsnorm_input_fused_adjacent_fixed_v1	42156	122688	4624	21184	20924	24e3f16bf92320fd79059257ec70ca97bbf76b5859610c2013c58a7511f1feaf	blake2b-256:a775e08bbb5efc31221a9998b52a56fda5a414f389de3fd8fe9a2c64a26fb986	NO_GO_PRE_REGISTERED_ADJACENT_SEEDS_DO_NOT_BEAT_FRONTIER	BEST_SEED_02_IS_40268_TYPED_BYTES_VS_37532_FRONTIER_WITH_2736_BYTE_GAP
adjacent_label_probe_a	adjacent_existing_probe	existing_non_frontier_probe	rmsnorm_input_fused_adjacent_label_probe_a_v1	40332	116321	2800	19360	20924	ab9c27d7b780f81ec8f8f562997392362c18c9ddc6315d1db303520e3fd7e682	blake2b-256:a775e08bbb5efc31221a9998b52a56fda5a414f389de3fd8fe9a2c64a26fb986	NO_GO_PRE_REGISTERED_ADJACENT_SEEDS_DO_NOT_BEAT_FRONTIER	BEST_SEED_02_IS_40268_TYPED_BYTES_VS_37532_FRONTIER_WITH_2736_BYTE_GAP
adjacent_label_probe_b	adjacent_existing_probe	current_frontier	rmsnorm_input_fused_adjacent_label_probe_b_v1	37532	106317	0	16560	20924	d0540f5cd1a69991226bcfb81475cec78ba0d416a39317503ad204b660aae1e0	blake2b-256:a775e08bbb5efc31221a9998b52a56fda5a414f389de3fd8fe9a2c64a26fb986	NO_GO_PRE_REGISTERED_ADJACENT_SEEDS_DO_NOT_BEAT_FRONTIER	BEST_SEED_02_IS_40268_TYPED_BYTES_VS_37532_FRONTIER_WITH_2736_BYTE_GAP
adjacent_seed_00	pre_registered_seed	seed_no_go	rmsnorm_input_fused_adjacent_seed_00_v1	41484	120158	3952	20512	20924	01ba426d79e56c9c017a8d6696a54c4408424a3b0cc125c12c95fdfcacaa6e04	blake2b-256:a775e08bbb5efc31221a9998b52a56fda5a414f389de3fd8fe9a2c64a26fb986	NO_GO_PRE_REGISTERED_ADJACENT_SEEDS_DO_NOT_BEAT_FRONTIER	BEST_SEED_02_IS_40268_TYPED_BYTES_VS_37532_FRONTIER_WITH_2736_BYTE_GAP
adjacent_seed_01	pre_registered_seed	seed_no_go	rmsnorm_input_fused_adjacent_seed_01_v1	41484	120064	3952	20512	20924	01ba426d79e56c9c017a8d6696a54c4408424a3b0cc125c12c95fdfcacaa6e04	blake2b-256:a775e08bbb5efc31221a9998b52a56fda5a414f389de3fd8fe9a2c64a26fb986	NO_GO_PRE_REGISTERED_ADJACENT_SEEDS_DO_NOT_BEAT_FRONTIER	BEST_SEED_02_IS_40268_TYPED_BYTES_VS_37532_FRONTIER_WITH_2736_BYTE_GAP
adjacent_seed_02	pre_registered_seed	best_seed_but_no_go	rmsnorm_input_fused_adjacent_seed_02_v1	40268	115995	2736	19296	20924	1d1a58b9897120dd0beb15a7d159c2328304ed8e6103efa28551ee5b65b31539	blake2b-256:a775e08bbb5efc31221a9998b52a56fda5a414f389de3fd8fe9a2c64a26fb986	NO_GO_PRE_REGISTERED_ADJACENT_SEEDS_DO_NOT_BEAT_FRONTIER	BEST_SEED_02_IS_40268_TYPED_BYTES_VS_37532_FRONTIER_WITH_2736_BYTE_GAP
adjacent_seed_03	pre_registered_seed	seed_no_go	rmsnorm_input_fused_adjacent_seed_03_v1	42156	122588	4624	21184	20924	24e3f16bf92320fd79059257ec70ca97bbf76b5859610c2013c58a7511f1feaf	blake2b-256:a775e08bbb5efc31221a9998b52a56fda5a414f389de3fd8fe9a2c64a26fb986	NO_GO_PRE_REGISTERED_ADJACENT_SEEDS_DO_NOT_BEAT_FRONTIER	BEST_SEED_02_IS_40268_TYPED_BYTES_VS_37532_FRONTIER_WITH_2736_BYTE_GAP
adjacent_seed_04	pre_registered_seed	seed_no_go	rmsnorm_input_fused_adjacent_seed_04_v1	42156	122648	4624	21184	20924	24e3f16bf92320fd79059257ec70ca97bbf76b5859610c2013c58a7511f1feaf	blake2b-256:a775e08bbb5efc31221a9998b52a56fda5a414f389de3fd8fe9a2c64a26fb986	NO_GO_PRE_REGISTERED_ADJACENT_SEEDS_DO_NOT_BEAT_FRONTIER	BEST_SEED_02_IS_40268_TYPED_BYTES_VS_37532_FRONTIER_WITH_2736_BYTE_GAP
adjacent_seed_05	pre_registered_seed	seed_no_go	rmsnorm_input_fused_adjacent_seed_05_v1	40332	116303	2800	19360	20924	ab9c27d7b780f81ec8f8f562997392362c18c9ddc6315d1db303520e3fd7e682	blake2b-256:a775e08bbb5efc31221a9998b52a56fda5a414f389de3fd8fe9a2c64a26fb986	NO_GO_PRE_REGISTERED_ADJACENT_SEEDS_DO_NOT_BEAT_FRONTIER	BEST_SEED_02_IS_40268_TYPED_BYTES_VS_37532_FRONTIER_WITH_2736_BYTE_GAP
