variant_id	adapter_mode	query_location_span	min_pairwise_query_gap	prediction_rule	predicted_path_opening_bytes	final_path_opening_bytes	prediction_correct	sampler_sha256	query_location_digest
adjacent_label_probe_a	rmsnorm_input_fused_adjacent_label_probe_a_v1	110651	14670	one_tight_pair_inside_wider_span	19360	19360	true	e5789e6876e13a68542aadad1a8b2649b2d31bc1c08843b595818eb031c170b8	blake2b-256:a97e6dd4578e767c32a6ed50a2494e9a6819316a52211e16a7bc815cad1789bf
adjacent_label_probe_b	rmsnorm_input_fused_adjacent_label_probe_b_v1	16618	5969	tight_three_query_cluster	16560	16560	true	5421f80d39bf80c3301d4f65f412fb9bb6d8f9b333577b7f305b02912dda6252	blake2b-256:ef4edfe7457ea69e7c6de540167727511b9f86cac3cc25a7821b7b34dad20b76
fixed_adjacent_layout	rmsnorm_input_fused_adjacent_fixed_v1	291186	30179	wide_query_span	21184	21184	true	6fd4527aa1e62a22e96f413b252677aae3c778b10823cce96cb6a879df8337d4	blake2b-256:b3b6131a17d9bf8efabaaebb3d37f0dc2c86c9c9a2c2bd791b391de8a36aef02
adjacent_seed_00	rmsnorm_input_fused_adjacent_seed_00_v1	180956	34301	medium_wide_span_without_tight_pair	20512	20512	true	6a99c0a0eb1f57ee96ac629e09e6e98d84a621dcf3b7d7492bd19e07b09ce226	blake2b-256:768e673c32e0037f57367558819b50f3887bad29e9e5428fe054e0dec640c9c5
adjacent_seed_01	rmsnorm_input_fused_adjacent_seed_01_v1	145631	49574	medium_wide_span_without_tight_pair	20512	20512	true	bb2005983a1d783eb80b12e9b988a493ae3e1247f6e086a9d32d2e75bdaed375	blake2b-256:fd48a5bd86cd638e7ca6c63cd64368dd7f71dd0e42e78aa593a6fb9dbf196c4d
adjacent_seed_02	rmsnorm_input_fused_adjacent_seed_02_v1	86468	32220	medium_span_without_tight_pair	19296	19296	true	747708f9c6f28af8f7383e15fef6a2f8fa48745a64dc9f3f8930012ee02082d4	blake2b-256:31c275bccdb51beb6c9ae7e28fd6fe464286eee5b531369672ce7e1cc55e4965
adjacent_seed_03	rmsnorm_input_fused_adjacent_seed_03_v1	391501	80748	wide_query_span	21184	21184	true	9edc1870d6aa63e04ea703cc3ea0824bc27acf8bcade1e08ddcc929e366c9b1b	blake2b-256:cfd0580dc70f925a0ad18ff15b61eedb9dd70f9e174ce964c5ba1e4ace9e8aca
adjacent_seed_04	rmsnorm_input_fused_adjacent_seed_04_v1	422330	57938	wide_query_span	21184	21184	true	0016d0f425f5ed79c14c847ae32bbd54b317a1d1149137b55eb2fbbb4c56050b	blake2b-256:91f7d90dab5d1639cfde72ca8ed336c0b6d1a3372cd4dba070fca4d9acb6ba98
adjacent_seed_05	rmsnorm_input_fused_adjacent_seed_05_v1	125812	15995	one_tight_pair_inside_wider_span	19360	19360	true	967f5bffb6a7d35ecdcb059444851d194d9e03dbd80a38f3ec8ddc9c3260230e	blake2b-256:81da56e8d19d1218d6f12cb67acc7ebc9a24016cb56dc6239dc7c0f369aeb073
