metric	median_us	min_us	max_us	runs_us
source_prove_existing_input_us	1417914	1396311	1434019	1405792,1396311,1426291,1417914,1434019
sidecar_prove_existing_input_us	249912	248068	250384	249912,248068,249764,249966,250384
fused_prove_existing_input_us	1924674	1918232	1965155	1941996,1918232,1920411,1965155,1924674
source_verify_existing_envelope_us	800408	799317	814925	799317,800408,800015,814925,800626
sidecar_verify_existing_envelope_us	244490	243859	251410	243859,244452,244608,251410,244490
fused_verify_existing_envelope_us	1251867	1243328	1265902	1252059,1251867,1265902,1249778,1243328
