row_id	proof_system	object_class	workload	primary_metric	primary_value	ratio_vs_stwo_gate_value	ratio_vs_stwo_dense_substitute	ratio_vs_nanozk_context	matched_workload	proof_size_comparable	source_status	recommendation
local_stwo_d128_gate_value_projection	Stwo/STARK	local_native_stwo_d128_projection_proof	d128 gate/value projection, 131072 multiplication rows	typed_proof_field_bytes	16360	1.000000	0.724663	2.371014	False	False	local_checked	keep_as_local_dense_projection_baseline
local_stwo_d128_rmsnorm_mlp_substitute	Stwo/STARK	local_native_stwo_proof_component	d128 RMSNorm/SwiGLU/down/residual substitute fused component	derived_mlp_fused_typed_bytes	22576	1.379951	1.000000	3.271884	False	False	local_checked	context_for_dense_substitute_not_matched_gkr_workload
jstprove_tiny_gemm_scalar	JSTprove/Remainder-GKR	tiny_scalar_gemm_fixture	tiny Gemm, input width 2 to scalar output	proof_bytes	11645	0.711797	0.515813	1.687681	False	False	local_checked_external_tool_artifact	do_not_promote_tiny_scalar_signal_to_d128_projection
jstprove_width_preserving_gemm_dim_1	JSTprove/Remainder-GKR	width_preserving_gemm_dimension_sweep	width-preserving Gemm dim 1	proof_bytes	11726	0.716748	0.519401	1.699420	False	False	local_checked_external_tool_artifact	context_too_small_for_d128_projection
jstprove_width_preserving_gemm_dim_2	JSTprove/Remainder-GKR	width_preserving_gemm_dimension_sweep	width-preserving Gemm dim 2	proof_bytes	71040	4.342298	3.146704	10.295652	False	False	local_checked_external_tool_artifact	no_go_now_for_jstprove_d128_projection_scaling
jstprove_width_preserving_gemm_dim_4	JSTprove/Remainder-GKR	width_preserving_gemm_dimension_sweep	width-preserving Gemm dim 4	proof_bytes	70138	4.287164	3.106751	10.164928	False	False	local_checked_external_tool_artifact	no_go_now_for_jstprove_d128_projection_scaling
tablero_statement_boundary_guardrail	Tablero statement boundary	typed_statement_boundary	bind hybrid route claims without proof-object equivalence	boundary_example_count	5	NA	NA	NA	False	False	local_checked_statement_boundary	keep_for_claim_binding_not_proof_size_comparison
hybrid_selector_prior_attack_next	route selector	prior_route_recommendation	hybrid selector before d128 projection preflight	attack_next_count	2	NA	NA	NA	False	False	local_checked_selector	narrow_jstprove_dense_route_after_width_preserving_preflight
