variant_id	adapter_mode	cli_command	policy_status	typed_bytes	typed_delta_vs_champion	path_opening_bytes	path_opening_delta_vs_champion	value_bytes	proof_accounting_pinned	payload_commitment	source_artifact_digest_pins	source_artifact_payload_commitments	generated_label_ids	accepted_label_ids	rejected_label_ids	rejected_unseen_adapter_modes	mutation_outcomes
fixed_adjacent_layout	rmsnorm_input_fused_adjacent_fixed_v1	build-input-rmsnorm-fused-adjacent	rejected_inflating_label	42156	88	21184	592	20924	True	blake2b-256:e1653c5b5082171c34406ed29e84209ad29c9aaf7921d782e718a5541da32eea	rust_native_seq32_attention_mlp_source=3d740bda9a3f301edea7a10dc1b9f58878d1a0f067397eecb5ed50465e4b7d95,cli_native_seq32_attention_mlp_source=abd34cbc64a04e234ccf2c3e951629f57243eb7e1795b1c448d340bb7111095d,source_adjacent_label_policy=b85b9001dc0e9387b4cc2fc49302c9d7bbe7e9ff8d8f6c9b31c394a21b14b9d1,deterministic_adjacent_label_policy=d5cbe419a545c022036b7347b6fb75a1fbb127dc7a861948d96103e646f338ab	rust_native_seq32_attention_mlp_source=none,cli_native_seq32_attention_mlp_source=none,source_adjacent_label_policy=blake2b-256:f2bcfec2552cc89befcb489271b357063cf13ea302fb91732cb416249ea427a2,deterministic_adjacent_label_policy=blake2b-256:cb60558f8b274ffa44d51de3367a34759b408b5c1dd3427583d3031ef9017fdd	fixed_adjacent_layout,adjacent_label_probe_a,adjacent_label_probe_b	adjacent_label_probe_a,adjacent_label_probe_b	fixed_adjacent_layout	rmsnorm_input_fused_adjacent_label_probe_c_v1,rmsnorm_input_fused_post_tail_label_probe_a_v1	decision_drift=rejected:decision drift,result_drift=rejected:result drift,claim_boundary_overclaim=rejected:claim_boundary drift,rust_source_digest_drift=rejected:source artifact drift,cli_source_digest_drift=rejected:source artifact drift,deterministic_policy_commitment_drift=rejected:source artifact drift,generated_mode_removed=rejected:generator policy drift,generated_mode_extra=rejected:generator policy drift,cli_command_drift=rejected:generator policy drift,accepted_label_erased=rejected:generator policy drift,fixed_label_accepted=rejected:generated label inventory drift,accepted_value_drift=rejected:generated label inventory drift,accepted_typed_drift=rejected:generated label inventory drift,proof_accounting_erased=rejected:generated label inventory drift,unseen_label_accepted=rejected:rejected unseen label drift,post_tail_cross_family_accepted=rejected:rejected unseen label drift,generator_rule_drift=rejected:generator policy drift,manual_override_enabled=rejected:generator policy drift,summary_worst_accepted_drift=rejected:policy summary drift,full_inventory_promoted=rejected:policy summary drift,validation_command_drift=rejected:validation command drift,removed_non_claim=rejected:non_claims drift,label_order_drift=rejected:generated label order drift,payload_commitment_drift=rejected:payload commitment drift
adjacent_label_probe_a	rmsnorm_input_fused_adjacent_label_probe_a_v1	build-input-rmsnorm-fused-adjacent-label-probe-a	supported_label	40332	-1736	19360	-1232	20924	True	blake2b-256:e1653c5b5082171c34406ed29e84209ad29c9aaf7921d782e718a5541da32eea	rust_native_seq32_attention_mlp_source=3d740bda9a3f301edea7a10dc1b9f58878d1a0f067397eecb5ed50465e4b7d95,cli_native_seq32_attention_mlp_source=abd34cbc64a04e234ccf2c3e951629f57243eb7e1795b1c448d340bb7111095d,source_adjacent_label_policy=b85b9001dc0e9387b4cc2fc49302c9d7bbe7e9ff8d8f6c9b31c394a21b14b9d1,deterministic_adjacent_label_policy=d5cbe419a545c022036b7347b6fb75a1fbb127dc7a861948d96103e646f338ab	rust_native_seq32_attention_mlp_source=none,cli_native_seq32_attention_mlp_source=none,source_adjacent_label_policy=blake2b-256:f2bcfec2552cc89befcb489271b357063cf13ea302fb91732cb416249ea427a2,deterministic_adjacent_label_policy=blake2b-256:cb60558f8b274ffa44d51de3367a34759b408b5c1dd3427583d3031ef9017fdd	fixed_adjacent_layout,adjacent_label_probe_a,adjacent_label_probe_b	adjacent_label_probe_a,adjacent_label_probe_b	fixed_adjacent_layout	rmsnorm_input_fused_adjacent_label_probe_c_v1,rmsnorm_input_fused_post_tail_label_probe_a_v1	decision_drift=rejected:decision drift,result_drift=rejected:result drift,claim_boundary_overclaim=rejected:claim_boundary drift,rust_source_digest_drift=rejected:source artifact drift,cli_source_digest_drift=rejected:source artifact drift,deterministic_policy_commitment_drift=rejected:source artifact drift,generated_mode_removed=rejected:generator policy drift,generated_mode_extra=rejected:generator policy drift,cli_command_drift=rejected:generator policy drift,accepted_label_erased=rejected:generator policy drift,fixed_label_accepted=rejected:generated label inventory drift,accepted_value_drift=rejected:generated label inventory drift,accepted_typed_drift=rejected:generated label inventory drift,proof_accounting_erased=rejected:generated label inventory drift,unseen_label_accepted=rejected:rejected unseen label drift,post_tail_cross_family_accepted=rejected:rejected unseen label drift,generator_rule_drift=rejected:generator policy drift,manual_override_enabled=rejected:generator policy drift,summary_worst_accepted_drift=rejected:policy summary drift,full_inventory_promoted=rejected:policy summary drift,validation_command_drift=rejected:validation command drift,removed_non_claim=rejected:non_claims drift,label_order_drift=rejected:generated label order drift,payload_commitment_drift=rejected:payload commitment drift
adjacent_label_probe_b	rmsnorm_input_fused_adjacent_label_probe_b_v1	build-input-rmsnorm-fused-adjacent-label-probe-b	supported_label	37532	-4536	16560	-4032	20924	True	blake2b-256:e1653c5b5082171c34406ed29e84209ad29c9aaf7921d782e718a5541da32eea	rust_native_seq32_attention_mlp_source=3d740bda9a3f301edea7a10dc1b9f58878d1a0f067397eecb5ed50465e4b7d95,cli_native_seq32_attention_mlp_source=abd34cbc64a04e234ccf2c3e951629f57243eb7e1795b1c448d340bb7111095d,source_adjacent_label_policy=b85b9001dc0e9387b4cc2fc49302c9d7bbe7e9ff8d8f6c9b31c394a21b14b9d1,deterministic_adjacent_label_policy=d5cbe419a545c022036b7347b6fb75a1fbb127dc7a861948d96103e646f338ab	rust_native_seq32_attention_mlp_source=none,cli_native_seq32_attention_mlp_source=none,source_adjacent_label_policy=blake2b-256:f2bcfec2552cc89befcb489271b357063cf13ea302fb91732cb416249ea427a2,deterministic_adjacent_label_policy=blake2b-256:cb60558f8b274ffa44d51de3367a34759b408b5c1dd3427583d3031ef9017fdd	fixed_adjacent_layout,adjacent_label_probe_a,adjacent_label_probe_b	adjacent_label_probe_a,adjacent_label_probe_b	fixed_adjacent_layout	rmsnorm_input_fused_adjacent_label_probe_c_v1,rmsnorm_input_fused_post_tail_label_probe_a_v1	decision_drift=rejected:decision drift,result_drift=rejected:result drift,claim_boundary_overclaim=rejected:claim_boundary drift,rust_source_digest_drift=rejected:source artifact drift,cli_source_digest_drift=rejected:source artifact drift,deterministic_policy_commitment_drift=rejected:source artifact drift,generated_mode_removed=rejected:generator policy drift,generated_mode_extra=rejected:generator policy drift,cli_command_drift=rejected:generator policy drift,accepted_label_erased=rejected:generator policy drift,fixed_label_accepted=rejected:generated label inventory drift,accepted_value_drift=rejected:generated label inventory drift,accepted_typed_drift=rejected:generated label inventory drift,proof_accounting_erased=rejected:generated label inventory drift,unseen_label_accepted=rejected:rejected unseen label drift,post_tail_cross_family_accepted=rejected:rejected unseen label drift,generator_rule_drift=rejected:generator policy drift,manual_override_enabled=rejected:generator policy drift,summary_worst_accepted_drift=rejected:policy summary drift,full_inventory_promoted=rejected:policy summary drift,validation_command_drift=rejected:validation command drift,removed_non_claim=rejected:non_claims drift,label_order_drift=rejected:generated label order drift,payload_commitment_drift=rejected:payload commitment drift
