row_type	profile_id	from_profile_id	to_profile_id	head_count	steps_per_head	lookup_claims	trace_rows	source_proof_bytes	sidecar_proof_bytes	split_proof_bytes	fused_proof_bytes	proof_saving_bytes	fused_to_split_proof_ratio	split_prove_median_us	fused_prove_median_us	fused_to_split_prove_ratio	split_verify_median_us	fused_verify_median_us	fused_to_split_verify_ratio	lookup_growth	trace_growth	fused_proof_growth	split_proof_growth	fused_prove_growth	split_prove_growth	fused_verify_growth	split_verify_growth
profile	d64_two_head_seq32			2	32	1184	2048	248702	36400	285102	253257	31845	0.888303	441439	484914	1.098485	263204	301377	1.145032								
profile	d64_two_head_seq64			2	64	4416	8192	264403	42567	306970	272636	34334	0.888152	1761694	1949288	1.106485	1149808	1197640	1.0416								
profile	d64_four_head_seq32			4	32	2368	4096	254145	34147	288292	255889	32403	0.887604	852632	962475	1.128828	527702	600352	1.137672								
profile	d64_four_head_seq64			4	64	8832	16384	272638	43147	315785	276503	39282	0.875605	3560720	3789696	1.064306	2291710	2381255	1.039073								
sequence_growth		d64_two_head_seq32	d64_two_head_seq64	2																3.72973	4.0	1.076519	1.076702	4.019863	3.990798	3.973893	4.368505
sequence_growth		d64_four_head_seq32	d64_four_head_seq64	4																3.72973	4.0	1.080558	1.095365	3.937449	4.176151	3.966431	4.342811
