variant_id	adapter_mode	policy_stage	query_location_span	min_pairwise_query_gap	selected_without_final_accounting	predicted_path_opening_bytes	final_path_opening_bytes	final_typed_bytes	api_control_status
adjacent_label_probe_a	rmsnorm_input_fused_adjacent_label_probe_a_v1	post_transcript_pre_accounting_not_true_predecommit	110651	14670	false	19360	19360	40332	NO_TRUE_PREDECOMMIT_CONTROL_HOOK_IN_CURRENT_WRAPPER
adjacent_label_probe_b	rmsnorm_input_fused_adjacent_label_probe_b_v1	post_transcript_pre_accounting_not_true_predecommit	16618	5969	true	16560	16560	37532	NO_TRUE_PREDECOMMIT_CONTROL_HOOK_IN_CURRENT_WRAPPER
fixed_adjacent_layout	rmsnorm_input_fused_adjacent_fixed_v1	post_transcript_pre_accounting_not_true_predecommit	291186	30179	false	21184	21184	42156	NO_TRUE_PREDECOMMIT_CONTROL_HOOK_IN_CURRENT_WRAPPER
adjacent_seed_00	rmsnorm_input_fused_adjacent_seed_00_v1	post_transcript_pre_accounting_not_true_predecommit	180956	34301	false	20512	20512	41484	NO_TRUE_PREDECOMMIT_CONTROL_HOOK_IN_CURRENT_WRAPPER
adjacent_seed_01	rmsnorm_input_fused_adjacent_seed_01_v1	post_transcript_pre_accounting_not_true_predecommit	145631	49574	false	20512	20512	41484	NO_TRUE_PREDECOMMIT_CONTROL_HOOK_IN_CURRENT_WRAPPER
adjacent_seed_02	rmsnorm_input_fused_adjacent_seed_02_v1	post_transcript_pre_accounting_not_true_predecommit	86468	32220	false	19296	19296	40268	NO_TRUE_PREDECOMMIT_CONTROL_HOOK_IN_CURRENT_WRAPPER
adjacent_seed_03	rmsnorm_input_fused_adjacent_seed_03_v1	post_transcript_pre_accounting_not_true_predecommit	391501	80748	false	21184	21184	42156	NO_TRUE_PREDECOMMIT_CONTROL_HOOK_IN_CURRENT_WRAPPER
adjacent_seed_04	rmsnorm_input_fused_adjacent_seed_04_v1	post_transcript_pre_accounting_not_true_predecommit	422330	57938	false	21184	21184	42156	NO_TRUE_PREDECOMMIT_CONTROL_HOOK_IN_CURRENT_WRAPPER
adjacent_seed_05	rmsnorm_input_fused_adjacent_seed_05_v1	post_transcript_pre_accounting_not_true_predecommit	125812	15995	false	19360	19360	40332	NO_TRUE_PREDECOMMIT_CONTROL_HOOK_IN_CURRENT_WRAPPER
