row_id	row_kind	from_profile_id	to_profile_id	lookup_growth	trace_growth	fused_proof_growth	split_proof_growth	fused_prove_growth	split_prove_growth	fused_verify_growth	split_verify_growth	fused_proof_bytes	split_proof_bytes	saving_bytes	fused_to_split_ratio	timing_status	interpretation
d64_h2_seq32_to_seq64	sequence_axis	d64_two_head_seq32	d64_two_head_seq64	3.72973	4.0	1.076519	1.076702	4.019863	3.990798	3.973893	4.368505	272636	306970	34334	0.888152	median_of_5_local_release	lookup and trace work grew about 4x while fused proof bytes grew about 1.08x; prove and verify timing grew near the work axis
d64_h4_seq32_to_seq64	sequence_axis	d64_four_head_seq32	d64_four_head_seq64	3.72973	4.0	1.080558	1.095365	3.937449	4.176151	3.966431	4.342811	276503	315785	39282	0.875605	median_of_5_local_release	lookup and trace work grew about 4x while fused proof bytes grew about 1.08x; prove and verify timing grew near the work axis
d128_h2_seq32_to_seq64	sequence_axis_proof_size_only	d128_two_head_seq32	d128_two_head_seq64	3.72973	4.0	1.080697	1.091811					481870	522187	40317	0.922792	not_measured_here	proof-size scaling row without median timing in this artifact
d128_h4_seq32_to_seq64	sequence_axis_proof_size_only	d128_four_head_seq32	d128_four_head_seq64	3.72973	4.0	1.06491	1.068793					495854	539670	43816	0.91881	not_measured_here	proof-size scaling row without median timing in this artifact
d128_to_d256_h2_seq32_width_stress	width_axis	d128_two_head_seq32	d256_two_head_seq32	1.0	1.0	1.842162	1.780438					821398	851541	30143	0.964602	median_of_5_local_release_single_point	d256 keeps a raw proof-byte saving but is not a speed win in local median timing
