cell_id	status	axis_role	key_width	head_count	steps_per_head	pressure_axes	profile_id	lookup_claims	trace_rows	fused_proof_size_bytes	source_plus_sidecar_raw_proof_bytes	fused_to_source_plus_sidecar_ratio	evidence_json	missing_reason
d256_h4_seq32	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	256	4	32	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d256_h4_seq64	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	256	4	64	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d256_h8_seq8	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_crossing	256	8	8	width+head								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d256_h8_seq16	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	256	8	16	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d256_h8_seq32	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	256	8	32	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d256_h8_seq64	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	256	8	64	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d256_h16_seq8	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_crossing	256	16	8	width+head								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d256_h16_seq16	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	256	16	16	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d256_h16_seq32	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	256	16	32	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d256_h16_seq64	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	256	16	64	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
