cell_id	status	axis_role	key_width	head_count	steps_per_head	pressure_axes	profile_id	lookup_claims	trace_rows	fused_proof_size_bytes	source_plus_sidecar_raw_proof_bytes	fused_to_source_plus_sidecar_ratio	evidence_json	missing_reason
d16_h2_seq8	PROVED_NATIVE_FUSED_WITH_MATCHED_SOURCE_PLUS_LOGUP_SIDECAR_COMPARATOR	width_head_crossing	16	2	8	width+head	d16_two_head_seq8	104	128	78211	91596	0.853869	docs/engineering/evidence/zkai-attention-kv-stwo-native-d16-two-head-fused-softmax-table-gate-2026-05.json	proved
d16_h2_seq16	PROVED_NATIVE_FUSED_WITH_MATCHED_SOURCE_PLUS_LOGUP_SIDECAR_COMPARATOR	width_head_sequence_crossing	16	2	16	width+head+sequence	d16_two_head_seq16	336	512	84868	108158	0.784667	docs/engineering/evidence/zkai-attention-kv-stwo-native-d16-two-head-longseq-fused-softmax-table-gate-2026-05.json	proved
d16_h2_seq32	PROVED_NATIVE_FUSED_WITH_MATCHED_SOURCE_PLUS_LOGUP_SIDECAR_COMPARATOR	width_head_sequence_crossing	16	2	32	width+head+sequence	d16_two_head_seq32	1184	2048	92363	127207	0.726084	docs/engineering/evidence/zkai-attention-kv-stwo-native-d16-two-head-seq32-fused-softmax-table-gate-2026-05.json	proved
d16_h2_seq64	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	16	2	64	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d16_h4_seq8	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_crossing	16	4	8	width+head								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d16_h4_seq16	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	16	4	16	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d16_h4_seq32	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	16	4	32	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d16_h4_seq64	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	16	4	64	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d16_h8_seq8	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_crossing	16	8	8	width+head								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d16_h8_seq16	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	16	8	16	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d16_h8_seq32	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	16	8	32	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d16_h8_seq64	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	16	8	64	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d16_h16_seq8	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_crossing	16	16	8	width+head								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d16_h16_seq16	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	16	16	16	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d16_h16_seq32	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	16	16	32	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d16_h16_seq64	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	16	16	64	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d32_h1_seq8	PROVED_NATIVE_FUSED_WITH_MATCHED_SOURCE_PLUS_LOGUP_SIDECAR_COMPARATOR	width_axis	32	1	8	width	d32_single_head_seq8	52	64	107261	116682	0.919259	docs/engineering/evidence/zkai-attention-kv-stwo-native-d32-fused-softmax-table-gate-2026-05.json	proved
d32_h1_seq16	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_sequence_crossing	32	1	16	width+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d32_h1_seq32	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_sequence_crossing	32	1	32	width+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d32_h1_seq64	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_sequence_crossing	32	1	64	width+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d32_h2_seq8	PROVED_NATIVE_FUSED_WITH_MATCHED_SOURCE_PLUS_LOGUP_SIDECAR_COMPARATOR	width_head_crossing	32	2	8	width+head	d32_two_head_seq8	104	128	125756	142063	0.885213	docs/engineering/evidence/zkai-attention-kv-stwo-native-d32-two-head-fused-softmax-table-gate-2026-05.json	proved
d32_h2_seq16	PROVED_NATIVE_FUSED_WITH_MATCHED_SOURCE_PLUS_LOGUP_SIDECAR_COMPARATOR	width_head_sequence_crossing	32	2	16	width+head+sequence	d32_two_head_seq16	336	512	132543	162138	0.81747	docs/engineering/evidence/zkai-attention-kv-stwo-native-d32-two-head-longseq-fused-softmax-table-gate-2026-05.json	proved
d32_h2_seq32	PROVED_NATIVE_FUSED_WITH_MATCHED_SOURCE_PLUS_LOGUP_SIDECAR_COMPARATOR	width_head_sequence_crossing	32	2	32	width+head+sequence	d32_two_head_seq32	1184	2048	150147	176473	0.850821	docs/engineering/evidence/zkai-attention-kv-stwo-native-d32-two-head-seq32-fused-softmax-table-gate-2026-05.json	proved
d32_h2_seq64	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	32	2	64	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d32_h4_seq8	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_crossing	32	4	8	width+head								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d32_h4_seq16	PROVED_NATIVE_FUSED_WITH_MATCHED_SOURCE_PLUS_LOGUP_SIDECAR_COMPARATOR	width_head_sequence_crossing	32	4	16	width+head+sequence	d32_four_head_seq16	672	1024	142334	170018	0.83717	docs/engineering/evidence/zkai-attention-kv-stwo-native-d32-four-head-longseq-fused-softmax-table-gate-2026-05.json	proved
d32_h4_seq32	PROVED_NATIVE_FUSED_WITH_MATCHED_SOURCE_PLUS_LOGUP_SIDECAR_COMPARATOR	width_head_sequence_crossing	32	4	32	width+head+sequence	d32_four_head_seq32	2368	4096	154670	192937	0.801661	docs/engineering/evidence/zkai-attention-kv-stwo-native-d32-four-head-seq32-fused-softmax-table-gate-2026-05.json	proved
d32_h4_seq64	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	32	4	64	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d32_h8_seq8	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_crossing	32	8	8	width+head								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d32_h8_seq16	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	32	8	16	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d32_h8_seq32	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	32	8	32	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d32_h8_seq64	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	32	8	64	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d32_h16_seq8	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_crossing	32	16	8	width+head								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d32_h16_seq16	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	32	16	16	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d32_h16_seq32	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	32	16	32	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d32_h16_seq64	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	32	16	64	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d64_h1_seq8	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_axis	64	1	8	width								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d64_h1_seq16	PROVED_NATIVE_FUSED_WITH_MATCHED_SOURCE_PLUS_LOGUP_SIDECAR_COMPARATOR	width_sequence_crossing	64	1	16	width+sequence	d64_single_head_seq16	168	256	237725	254375	0.934545	docs/engineering/evidence/zkai-attention-kv-stwo-native-d64-single-head-longseq-fused-softmax-table-gate-2026-05.json	proved
d64_h1_seq32	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_sequence_crossing	64	1	32	width+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d64_h1_seq64	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_sequence_crossing	64	1	64	width+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d64_h2_seq8	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_crossing	64	2	8	width+head								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d64_h2_seq16	PROVED_NATIVE_FUSED_WITH_MATCHED_SOURCE_PLUS_LOGUP_SIDECAR_COMPARATOR	width_head_sequence_crossing	64	2	16	width+head+sequence	d64_two_head_seq16	336	512	238504	257725	0.925421	docs/engineering/evidence/zkai-attention-kv-stwo-native-d64-two-head-longseq-fused-softmax-table-gate-2026-05.json	proved
d64_h2_seq32	PROVED_NATIVE_FUSED_WITH_MATCHED_SOURCE_PLUS_LOGUP_SIDECAR_COMPARATOR	width_head_sequence_crossing	64	2	32	width+head+sequence	d64_two_head_seq32	1184	2048	253257	285102	0.888303	docs/engineering/evidence/zkai-attention-kv-stwo-native-d64-two-head-seq32-fused-softmax-table-gate-2026-05.json	proved
d64_h2_seq64	PROVED_NATIVE_FUSED_WITH_MATCHED_SOURCE_PLUS_LOGUP_SIDECAR_COMPARATOR	width_head_sequence_crossing	64	2	64	width+head+sequence	d64_two_head_seq64	4416	8192	272636	306970	0.888152	docs/engineering/evidence/zkai-attention-kv-stwo-native-d64-two-head-seq64-fused-softmax-table-gate-2026-05.json	proved
d64_h4_seq8	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_crossing	64	4	8	width+head								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d64_h4_seq16	PROVED_NATIVE_FUSED_WITH_MATCHED_SOURCE_PLUS_LOGUP_SIDECAR_COMPARATOR	width_head_sequence_crossing	64	4	16	width+head+sequence	d64_four_head_seq16	672	1024	237596	260685	0.91143	docs/engineering/evidence/zkai-attention-kv-stwo-native-d64-four-head-longseq-fused-softmax-table-gate-2026-05.json	proved
d64_h4_seq32	PROVED_NATIVE_FUSED_WITH_MATCHED_SOURCE_PLUS_LOGUP_SIDECAR_COMPARATOR	width_head_sequence_crossing	64	4	32	width+head+sequence	d64_four_head_seq32	2368	4096	255889	288292	0.887604	docs/engineering/evidence/zkai-attention-kv-stwo-native-d64-four-head-seq32-fused-softmax-table-gate-2026-05.json	proved
d64_h4_seq64	PROVED_NATIVE_FUSED_WITH_MATCHED_SOURCE_PLUS_LOGUP_SIDECAR_COMPARATOR	width_head_sequence_crossing	64	4	64	width+head+sequence	d64_four_head_seq64	8832	16384	276503	315785	0.875605	docs/engineering/evidence/zkai-attention-kv-stwo-native-d64-four-head-seq64-fused-softmax-table-gate-2026-05.json	proved
d64_h8_seq8	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_crossing	64	8	8	width+head								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d64_h8_seq16	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	64	8	16	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d64_h8_seq32	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	64	8	32	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
d64_h8_seq64	MISSING_NATIVE_FUSED_PROOF_AND_MATCHED_COMPARATOR	width_head_sequence_crossing	64	8	64	width+head+sequence								no checked native fused proof plus matched source-plus-LogUp-sidecar comparator for this cell
