variant_id	typed_delta_vs_probe_b	json_delta_vs_probe_b	path_opening_delta_vs_probe_b	value_delta_vs_probe_b	fri_decommitments_delta	fri_samples_delta	trace_decommitments_delta	payload_commitment	decision	result
adjacent_seed_02	2736	9678	2736	0	2016	80	640	blake2b-256:ff356aa053c297b3178d6b0d9429d339a3abf1f3543e34ba92801ee1af750526	NARROW_CLAIM_PATH_OPENING_BUCKET_ATTRIBUTED_NO_SOURCE_PREDICTOR	PROBE_B_EDGE_VS_SEED_02_IS_2736_TYPED_BYTES_ALL_FROM_FRI_AND_TRACE_OPENING_GROUPS
adjacent_seed_05	2800	9986	2800	0	2080	80	640	blake2b-256:ff356aa053c297b3178d6b0d9429d339a3abf1f3543e34ba92801ee1af750526	NARROW_CLAIM_PATH_OPENING_BUCKET_ATTRIBUTED_NO_SOURCE_PREDICTOR	PROBE_B_EDGE_VS_SEED_02_IS_2736_TYPED_BYTES_ALL_FROM_FRI_AND_TRACE_OPENING_GROUPS
fixed_adjacent_layout	4624	16371	4624	0	3456	144	1024	blake2b-256:ff356aa053c297b3178d6b0d9429d339a3abf1f3543e34ba92801ee1af750526	NARROW_CLAIM_PATH_OPENING_BUCKET_ATTRIBUTED_NO_SOURCE_PREDICTOR	PROBE_B_EDGE_VS_SEED_02_IS_2736_TYPED_BYTES_ALL_FROM_FRI_AND_TRACE_OPENING_GROUPS
